41,Компьютерный взлом/ТУ,Computer Hacking,2,3,нет,Программирование,"умение получения нелегального доступа к компьютерной системе – обычно с использованием другого компьютера через сеть. Успешный бросок позволит вам получить доступ к закрытым данным или всем функциям взломанной системы. В случае критического провала вы не только не получаете доступа, но и оставляете следы взлома.
Это умение очень киношное, и симулирует процесс взлома компьютерных систем, встречающийся во многих кинофильмах. Он не должен существовать в реалистичных сеттингах! Реалистичные хакеры должны использовать комбинацию из Использования компьютера (использование программ для взлома), Программирования (для их написания), Криптографии, Использования электроники (связь или системы безопасности), Ремонта электроники (компьютеры), Заговаривания зубов (для выпытывания паролей у пользователей), Исследования (для поиска необходимой для взлома информации в книгах), Собирания (для нахождения обрывков информации даже в мусоре).","за снаряжение; от -1 до -10, если вы не знакомы с последними новостями из мира компьютерной безопасности (штраф зависит от того, насколько сильно вы отстали). Меры защиты также дают штрафы: от -1 за самую дешевую коммерческую систему до -15 за новейшую профессиональную систему обороны, грамотно настроенную профессионалами. Некоторые из систем могут сопротивляться попыткам взлома – для их обхода используется быстрое состязание по Взлому против эффективного умения защиты.",0
42,Использование компьютера/ТУ ,Computer Operations,2,0,ИН-4,,"Это способность пользоваться компьютером, вызывать данные,
пользоваться соответствующими программами, играть в видеоигры и т.д. Это не то же самое, что программирование (см. ниже) – умение для написания программ или Использование электроники (с.190) – ремонт и обслуживание оборудования. Это умение доступно только при существовании компьютеров в данном игровом мире. Персонажи из других миров не могут пользоваться этим умением по умолчанию, если у них не было времени, чтобы познакомится с компьютерами! В мирах, где возможно подключение компьютера к мозгу, умение также включает умение использовать нейро-интерфейс; незнакомые с ним получают сначала -4 за незнакомство (см. Знакомство, с.169).", -2 или больше за незнакомый компьютер или незнакомую программу. ,0
43,Программирование/ТУ,Computer Programming,2,2, нет,,"Это способность писать и отлаживать программное обеспечение. Успешный бросок позволит (помимо прочих вещей) найти ошибку в программе; определить ее назначение по распечатке программного кода; ответить на вопрос, касающийся компьютеров или программирования; или при наличии достаточного времени написать новую программу. Необходимое время может существенно различаться! В мирах, где существует искусственный интеллект, для работы с ним требуется специализация (ИИ). Уровней по умолчанию между обычным программированием и программированием ИИ нет. При использовании социальных умений (Заговаривание зубов, Психология, Обнаружение лжи, Обучение и т.д.) против ИИ используется меньшее из значений Программирование (ИИ) и соответствующего умения.","за потраченное время (с.346); незнакомый язык программирования (см. Знакомство, с.169)). Написание программы для определенной специализированной области требует броска по низшему из умений Программирования и соответствующего умения.",0
44,Знаток,Connoisseur,2,1,ИН-5 и др,,"умение отражает образованное понимание искусства и предметов. Это очень важное умение для людей искусства, критиков, воров и всех, кто хочет казаться культурным. Успешный бросок позволит определить, что подумает критик о предмете искусства, сколько это может стоить на рынке (+1 к умению Торговли, когда продаешь это), или произвести впечатление (+1 на бросок реакции или Хороших манер). Вы должны специализироваться: Танцы, Литература (по умолчанию – Литература, Поэзия или Письмо -3), Музыка (По умолчанию: Дирижер, Композитор или Музыкальный инструмент -3), Изобразительное искусство, Вина, и так далее. ","знакомство с культурой (c.23), -3 за Безрадостность (c.140).",1
45,Повар,Cooking,2,1,"ИН-5, Домашнее хозяйство-5",,"Это умение шеф-повара, вы не должны сами все делать, и он не нужен для приготовления простых продуктов.
Это способность готовить вкусную пищу из продуктов (не просто из воды и консервов). Возможна необязательная специализация (с.169) по категории блюд (выпечка, напитки и пр.) или народности (китайская или французкая кухня).",,0
46,Фальшивомонетчик/ТУ,Counterfeiting,2,2,"ИН-6, Подделка-2",,"Искусство подделки банкнот и монет. Доступно только криминальному миру и правительственным агентствам. Необходимое время варьируется от нескольких дней до недель (на усмотрение Мастера). Мастер тайно кидает умение при создании каждой партии денег. Критический успех означает, что вы создали подделку, которую не отличить от настоящих денег.
Обычных успех – работа хороша, но не идеальна. Когда вы пытаетесь использовать эти деньги, Мастер опять делает бросок, с теми же модификаторами. Провал будет означать, что проверяющий заметил неладное. Если деньги проверяются специально, требуется быстрое состязание Фальшивомонетчика против Восприятия, Торговли или Судебной экспертизы.
Любой провал начального броска значит, что подделку распознает первый же увидевший монету. Критический провал будет значить немного другое: получивший подделку – скрытый полицейский, или вооруженный и злой горожанин и т.д.","за оборудование (c.345). Если у вас есть материалы (чернила, бумага, матрицы и т.д.), которые используются при изготовлении настоящих денег, вы получаете от +1 (за несколько рулонов бумаги) до +10 (печатный пресс). Вы не можете подделывать деньги, если у вас нет образца.",0
47,Член экипажа/ТУ,Crewman,2,0,ИН-4,,"Это способность работать в команде на борту определенного типа крупного вида транспорта. Включает знакомство с бытом, знание техники безопасности и тренированность предотвращать и ремонтировать повреждения. Бросок умения делается для чтения простых карт или схем, использования метеорологии на практике или припоминания законов и правил, относящихся к вашему виду транспорта.
Также позволяет управлять кораблем. умение легче, чем соответствующее умение уп-
равления, поскольку включает исключительно знание управления. Специалисты контролируют такие действия, как прокладку курса и работу с приборами – данные передаются капитану, а он уже принимает решение о манёвре и передает экипажу или рулевому. При каждом манёвре кидается умение от ЛВ, но эффективное умение не может быть выше умения Кораблевождения (с.220).
Средний уровень умения по экипажу представляет общую тренированность. Мастер кидает его каждый раз в бою, плохих условиях и пр. Провал может означать различные результаты в зависимости от обстоятельств.
Для каждого из видов кораблей используется своя специализация",,0
48,Криминология/ТУ,Criminology,2,1,"ИН-5, Психология-4",,"Это наука о преступлениях и мышлении преступников. Используя свое умение, криминалист сможет найти необходимые улики, выдвинуть предположение насчет действий преступников и т.д. Хотя это умение и не зависит по умолчанию от Знания улиц, Мастер может в определенных ситуациях позволить вместо него бросок Знания улиц – особенно если нужно предсказать действия преступника или перехитрить его.", -3 за Нечувствительность (c.142),0
49,Арбалет,Crossbow,1,0,ЛВ-4,,"умение использовать различные Арбалеты, включая шаро- и камнестрельные арбалеты. Если вы владеете этим умением, то понимаете, как использовать осадные орудия арбалетного типа, но не имеете опыта в стрельбе из них.",,0
50,Криптография/ТУ,Crypthography,2,2,Математика (криптология)-5,,"Это умение позволяет кодировать и расшифровывать информацию, включает в себя использование различных систем шифрования, кодов и шифров. умение широко используется в военное время, для шпионажа и даже в бизнесе. Вклю-
чает в себя знание всех доступных систем шифрования – от простого замещения до сложных устройств. Знание конкретного шифра зависит от вашего уровня доступа (с.82) и привилегий. В большинстве миров, для изучения этого умения необходим доступ определенного уровня к секретным материалам. Расшифровка незнакомого кода – состязание по умениям Криптографии шифровальщика и дешифровщика. Повторные попытки возможны, но каждая попытка занимает целый день. Шифровальщик кидает только один раз – при создании кода.
Возможна необязательная специализация (с.169) на создании или дешифровке (специализация дешифровщика часто называется Криптоанализ).
Обычно Криптография не имеет уровня по умолчанию от ИН, но существует и два исключения. Любой может попытаться придумать банальнейший шифр или код, сделав бросок ИН-5. Разумеется, это не займет профессионала на какое-либо значимое время. Также, любой может попытаться бросить ИН-5 для расшифровки настолько же банального кода (но не шифра, созданного с помощью Криптографии), используя систему быстрого состязания, описанную выше.","Доступ к компьютеру: Домашний компьютер +1, миникомпьютер +2, мейнфрейм +3 или+4 и суперкомпьютер +5. Пользователь должен быть опытен в умении Программирование или Использование Компьютера, уровень одного из которых должен быть 15+. Также необходима определенное программное обеспечение. Любой человек, обладающий 
Математическими способностями (с.90), может добавить их уровень к броскам Криптоанализа, если вы знакомы с Использование компьютера: Домашний компьютер +1, миникомпьютер +2, мейнфрейм +3..+4 и суперкомпьютер +5.  Наличие примера кода с расшифровкой дает +5. Если сообщеие, которое необходимо расшифровать, короче 25 слов, то бросок получает штраф -5. Шифровальщик может затратить больше времени, и получить лучший код (сверяйтесь с таблицей Размеров, Скоростей и Расстояний (с.550) – в столбце Расстояний замените «ярд» на «день» - и используйте соответствующую премию).",0
51,Свежие новости/ТУ,Current Affairs,2,0,"ИН-4, Исследование-4",,"Это способность быстро собирать и анализировать все, что в вашем мире определяется как новости, и вспоминать их при необходимости. Необходима специализация по области. Специализации зависят друг от друга с -4. Сложно выделить один из типов новостей, не владея другими.
На успешном броске, Мастер сообщает вам любую новость в пределах вашей специализации, которая относится к текущему приключению (возможно с подсказками), или даст небольшую премию к умению."," -1 за день давности. -3, если у вас есть только один источник. +1 и больше, за особый доступ (подписка на обычную рассылку даст +1, а работа в розыскном агентстве - +3 и больше).",1
52,Танцы,Dancing,1,1,ЛВ-5,,"Это умение танцевать так, как принято в вашей культуре и быстро обучаться новым танцам. Обратите внимание, что некоторые физические данные могут помешать вам. Экзотические виды танцев: танцы с мечами, танцы с быками, танцы с огнем, танцы со змеями. Мастер может определить их как отдельные ЛВ/Среднее умения, с отношением по умолчанию к обычным танцам с -5.","применяются модификаторы за знакомство с культурой (с.23). -5, если танец вам неизвестен. После того, как вы удачно станцевали танец 3 раза, он становиться вам известен. ",0
53,Определение лжи,Detect Lies,6,2,"Восприятие-6, Язык тела-4, Психология-4",,"Это способность сказать, врет вам кто-либо или нет. Это не то же самое, что Допрос (с.202); Определение лжи используется от случая к случаю или при общении. Когда вы заявляете об использовании данного умения, то Мастер проводит Быстрое состязание умений между вашим Определением лжи и ИН оппонента (либо его Заговариванием зубов, либо Артистизмом). Если вы выигрываете, Мастер скажет, лгал ли вам собеседник. Если вы проиграли, то Мастер может обмануть вас насчет того, лгали вам или нет... или просто сказать «Ты не можешь сказать точно»."," +1 за Чувствительность или +3, за Эмпатию (с.51). Если лжец принадлежит к другому виду, то Мастер может назначить штраф, разве что вы очень хорошо знакомы с этим видом (модификаторы физиологии, с.181) +4 за Легко понимаемого (с.134) соперника, -3 за Нечувствительность (с.142).H55",0
54,Диагностика/ТУ,Diagnosis,2,2,"ИН-6, Первая Помощь-8, Ветеринария-5, Врачебное дело-4",,"Это умение понять, что случилось с больным или раненым, а также установить причину смерти погибшего или умершего человека. Успешный бросок умения даст некоторую информацию о проблеме пациента – реалистично ограниченную знаниями для Технологического уровня персонажа. Не обязательно обнаружится точная проблема (к примеру, Мастер 
может решить, что причина болезни выходит за пределы знаний врача), но умение всегда будет давать какие-то подсказки, помогать выйти из тупиковой ситуации и т.д. Заметьте, что Диагностика не нужна для таких очевидных вещей, как открытые ранения или оторванные конечности."," -5 при повреждении внутренних органов,  -5 для редких болезней, модификаторы за снаряжение (c.345) и знание физиологии (c.181)",0
55,Дипломатия,Diplomacy,2,2,"ИН-6, Политика-6",,"Это умение вести переговоры, достигать компромиссов и ладить с другими. Бросок Дипломатии может заменить любой бросок реакции в небоевой ситуации (см. броски влияния, с.359). В отличие от других умений, также предназначенных чтобы оказывать влияние, Дипломатия никогда не приведет результату, худшему, чем был бы при обычном броске на реакцию. Проваленный бросок Заговаривания зубов или Сексапильности разозлит человека, а применение Дипломатии всегда безопасно.
Успешный бросок позволит вам предсказать возможный исход определенного способа ведения переговоров или выбрать наилучший подход. Если ваше умение Дипломатия находится на уровне эксперта (20 или выше), то вы получаете премию +2 ко всем броскам на реакцию! "," +2, если у вас есть преимущество Голос (с.97). -3 за Нечувствительность (c.141), -2 Заикание (c.157), -1..-4 Застенчивость (c. 154), -1 за Непонимающий (с.146).",0
56,Изменение внешности/ТУ,Disguise,2,1,"ИН-5, Гримировка-3",,"Это способность стать похожим на кого-то еще с помощью одежды, грима и т.д. Обратите внимание, что быстрая маскировка (надеть халат при входе в лабораторию, например) не требует броска умения, но она сможет обмануть лишь невнимательных противников! Чтобы хорошо изменить внешность, требуется от 30 минут до часа. Для каждого человека (или группы), которого вы пытаетесь обмануть, проведите Быстрое состязание умений (Изменение внешности чаще всего против Восприятия, Наблюдения или Криминологии). Люди, наделенные профессиональными уме-
ниями из сферы правопорядка или шпионажа, могут пользоваться и этими умениями при попытке раскрыть вашу маскировку. Мастер может также разрешить использование для этого и других умений – например, умение Врачебного дела может помочь распознать накладной нос.
Когда вы сочетаете Артистизм (с.174) с Изменением внешности (это так, когда вам нужно изменить и лицо, и поведение), то для каждого человека в группе вам нужно делать лишь один бросок – но используя самое низкое значение умения из Артистизма и Маскировки.
В мирах со множеством разумных рас необходима специализация по расе – Изменение внешности (человек) не имеет ничего общего с Изменением внешности (большеглазые монстры). Вариант для собственной расы – наиболее обычен; в листе персонажа его можно записать просто как Изменение внешности. Маскировка под похожие расы относится друг к другу обычно с -2 до -4.","за снаряжение (с.345), +4 за Эластичную кожу (c.51); от -1 до -5 (по решению Мастера), чтобы загримироваться под кого-то (или подо что-то), кто сильно отличается от вас. Если у вас очень приметная внешность (Комплекция, с.18; Неестественные черты, с.22, определенные недостатки – к примеру, Горбун, с.139), это также снизит эффективное умение на число от 1 до 5, по решению Мастера. Разница в МР может сделать Изменение внешности вообще невозможным. Для больших групп может потребоваться много проверок, опять же решать Мастеру.
Вы можете изучить также вариант Изменение внешности (животные) для маскировки под неразумных созданий. Оно обычно используется при попытке тихо подобраться к животному, но также может применяться в религиозных или магических церемониях примитивными племенами. Уровня по умолчанию между этой специализацией и любыми другими не существует. Вместо вышеуказанных модификаторов применяются следующие: Модификаторы: +2, если подходить с подветренной стороны; от +1 до +3 при удачном броске умения Натуралист на знание повадок данного животного; -1 за каждое новое появившееся животное того же типа (-1 за каждые 10 животных, если они стадные); от -1 до -3, если шкура старая или в плохом состоянии; от -1 до -3 при провале броска умения Натуралист.",1
57,Ясный сон,Dreaming,5,2,Воля-6,,"Это умение контролирования и запоминания снов. Успешный бросок умения позволяет вам пережить яркий реалистичный сон на выбранную тему. Для интерпретации этого сна используется Предсказание судьбы: интерпретация снов. В некоторых мирах это может быть полезным и распространенным способом прорицания.
Успешный бросок может также помочь вам вспомнить забытую информацию, или что-то, что вы видели, но не обратили внимания. Тем не менее, этот способ менее надежный, чем хорошая память (с.51) – Мастер может просто описать сон, внеся туда несколько подсказок, расшифровка которых полностью возлагается на игрока.
Наконец, вы можете использованием этого умения обнаружить и оборвать сверхъестественное влияние на ваши сны. Для этого кидается состязание по вашему умению Ясного сна против умения контроля сна атакующего. При победе вы избавляетесь от внешнего влияния.",,0
58,Вождение/ТУ,Driving,1,1,"ЛВ-5, ИН-5",,"Способность водить определенный вид наземного транспорта. Бросок от ИН помогает чтению простых карт, диагностике простых сбоев и припоминанию правил движения. Необходима специализация. Управление упряжкой животных относится к умению Кучер (с.225). "," -2 за незнакомый транспорт известного вида (например, машина с ручной коробкой передач, когда вы привыкли к автоматической); -2 или больше за транспортное средство в плохом состоянии; -2 или больше при плохих условиях вождения; -4 или больше за транспорт незнакомого вида (например, Форд модели T, в то время как вы привыкли к транспортным средствам ТУ 7, или гоночный автомобиль, в то время как вы привыкли к грузовикам). ",1
59,Сбрасывание,Dropping,1,1,"ЛВ-3, Метание-4",,Это умение сбрасывать тяжелые предметы на врагов во время полета. Это считается дальней атакой сверху. Атаки бомбами и прочей взрывчаткой используют умение Артиллерия (бомбы).,,0
60,Экономика,Economics,2,1,"ИН-6, Торговое дело-6, Финансирование-3, Анализ рынка-5",,"Это наука о деньгах, биржевых операциях и банковском деле. Экономист может ответить на вопросы об инвестициях, экономической политике и т.д. Он также может предсказать локальные эффекты экономических изменений при появлении нового материала или технологии, разрушения электростанции или торгового дома и в других подобных ситуациях. Приключенцы с военным или разведывательным прошлым могут иметь некоторый уровень этого умения.",,0
61,Электрик/ТУ,Electrician,2,1,"ИН-5, Инженерия (электроприборы)-3",,"Это умение создания, поддержания и ремонта электрических систем. Бросок умения необходим для диагностики неисправности или создания проводки. В приключениях используют для повреждения и восстановления систем управления и, например, отрезания от электроснабжения построек. Обратите внимание, что электронные и электрические системы – не одно и то же. Аналогичное умение для электроники называется Ремонт электроники (с.190).",за снаряжение (с.345).,0
62,Использование электроники/ТУ,Electronic Operations,2,1,"ИН-5, Ремонт электроники (тот же тип)-5, Инженер (электроника)-5",,"Это умение позволяет использовать все электронные устройства в пределах известной специальности. Для обычного, ежедневного использования оборудования не 
требуется броска. (Исключение: нетренированные пользователи должны делать бросок всегда!) Необходима специализация. Все эти виды специализаций относятся друг к другу с -4, но Мастер может изменить эти значения. Между распространенными (Медиа, Системы безопасности) и экзотическими (Хронотехника и Психотроники) специальностями уровней по умолчанию нет.
На различных ТУ включаемые в специализацию устройства различаются: например, Связь на ТУ 5 – телеграф, ТУ 6 – телефоны и радио, ТУ 8 – цифровые системы и т.д.
Знакомство критически важно: по -2 за различные тип (термографы и радары), и применение (самолет и спутник), вплоть до -4, пока вы не ознакомитесь со всеми отличиями.","модификаторы за оборудование (с.345); -2 за незнакомую технологию известного типа (например, радар, когда вы используете термографы) или применение (противовоздушный радар, если вы раньше использовали только погодный); от -1 до -10, если вы давно не практиковались (различается в зависимости от области), и у вас не было времени ознакомиться с произошедшими изменениями.",1
63,Ремонт электроники/ТУ,Electronics Repair,2,1,"ИН-5, Использование электроники (тот же тип)-3, Инженерия (электроника)-3",,Способность обнаруживать и устранять неполадки в электронном оборудовании. Необходимое время – по решению Мастера. Необходима специализация по определенному типу оборудования (см. Использование электроники) или в компьютерах (по умолчанию – Использование компьютера-5). Друг к другу специализации относятся с -4.,"за снаряжение (с.345). -2, если у вас нет схем и планов. -2 за незнакомую технологию или применение (как и для Использования электроники). -4 для модификации устройства, чьи функции далеки от ожидаемых.",1
64,Инженерия/ТУ,Engineer,2,2,особый,Прикладная математика на уровне ТУ 5+ и еще кое-что,"Это умение разрабатывать и создавать сложные механизмы. Успешный бросок позволит вам, например, определить назначение непонятного устройства; определить неполадку в электрическом или механическом устройстве; произвести ремонт; разработать новый механизм; придумать устройство для решения определенной проблемы. Время, необходимое для каждой попытки, определяется Мастером. Обратите внимание, что инженеры – это изобретатели и разработчики; они не обязаны иметь умение в повседневной работе и уходе за создаваемой ими техникой. Например, Инженер (малое оружие) позволит вам создать новую винтовку, но вам придется обучиться умению Оружейник, чтобы как следует за ней ухаживать, и умению Огнестрельное оружие – чтобы стрелять.
Специализация необходима. По умолчанию специализации относятся друг к другу с -4. Мастер может изменить взаимоотношения между этими значениями; и запретить отношение по умолчанию между экзотическими и обычными видами.","за снаряжение (с.345); до +5, если вы создаете устройство, четко себе представляя, что именно и зачем вы делаете.",1
65,Увлечение,Enthrallment,5,2, нет,"Харизма 1, Публичное выступление 12+","В фентези барды часто имеют способность влиять на других во время выступления. Мастер может представить эту способность в виде нескольких родственных умений, описанных ниже. В зависимости от сеттинга, это умение может быть магическим, псионическим или просто формой гипноза. Каждое умение имеет свое время использования и действия, а также цену усталости. Использование умений требует двух бросков – первый, в начале рассказа, бросок Публичного выступления – для привлечения внимания аудитории, без которого вы не можете на нее воздействовать. В случае успеха, вы можете через определенное время рассказа сделать бросок Влияния (с +1, если первый бросок имел критический успех). При провале первого броска, вы можете использовать Увлечение, но получаете штраф, равный величине провала броска. Критический провал означает автоматически неудачную попытку.
Через некоторое время, необходимое для воздействия, делается быстрое состязание Влияния против Воли каждого слушателя. В случае успеха, ваше умение оказывает свое действие, при провале – нет. В случае критического провала, аудитория становится враждебной!
Ни один из этих умений не может превышать уровня Публичного выступления.
Размер аудитории: слушать вас может сколько угодно людей – но количество слушателей, на которых вы можете воздействовать, ограничен уровнем Харизмы в квадрате, до максимума 25 слушателей при Харизме 5.","все четыре умения Увлечения получают -3 за Нечувствительность (с.142). Если игрок рассказывает действительно хорошую историю, Мастер может наградить его премией от +1 до +3 на эти броски.",0
66,Очарование,Captivate,5,2,нет,Внушение 12+,"Это умение позволяет вам рассказывать историю настолько впечатляюще, что все слушающие теряют волю и делают все, что вы хотите. По сути, они верят, что сами были героями этой истории, и уязвимы к манипулированию. В случае успеха в быстром состязании, аудитория становится полностью верной вам – они подчиняются любым вашим приказам, а в их отсутствие – действуют в ваших интересах, как они их понимают. Если ваш приказ очень опасен или противоречит «кодексу поведения» жертвы, она получает повторный бросок Воли-5, чтобы освободиться.
Во всех остальных отношениях они поддерживают все ваши интересы и цели.
Затраты времени: 30 минут непрерывного рассказа.
Цена: 8 ЕУ, независимо от успеха.
Длительность: пока субъект не упадет без сознания, не заснет, не будет атакован вами, или не потеряет половины ЕЖ, или пока вы не заснете или не потеряете сознание.",,0
67,Убеждение,Persuade,5,2,нет,,"Это способность убедить аудиторию в правильности своей точки зрения, что дает вам премию к броскам реакции от этой аудитории. Это умение может использоваться в любой момент, когда необходим бросок реакции. Если вы побеждаете в быс-
тром состязании, бросок реакции увеличивается на значение победы в этом состязании – до максимума в +3 (или +4 при критическом успехе). В случае критического провала, лучшая возможная реакция – Слабая (с.560).
Время: 1 минута.
Стоимость: 2 ЕУ, независимо от успешности.
Длительность: пока вы не сделаете что-либо, что изменит мнение аудитории!",,0
